Pattern_ID,Pattern_Name,Claimed_Value,Actual_Finding,Status,Support_Pct,Confidence_Level,Key_Examples_Supported,Key_Examples_Contradicted
1A,Early Clarifications (2+ in first 15),88% of successful conversations,255/761 (33.5%) have 2+ early clarifications,PARTIALLY SUPPORTED,35.5%,Medium,"C001 (2 clarif at events 6,14); C003 (2 clarif at events 3,12); C010 (4 clarif in first 15)","C008 (0 clarif in first 15); C009 (0 clarif); C015 (0 clarif with success marker)"
1B,Clarification Chains,Successful: 2-3 complete chains,2374 complete chains found; 15+ conversations with 4+ consecutive without correction,PARTIALLY SUPPORTED,100% of CR→CORR pattern exists,"High (pattern exists, failure cases exist)","C001 (Event 6→12 gap 6; Event 14→17 gap 3; Event 18→22 gap 4); C003 (Event 3→9); C004 (Event 13-16→18)","C055 (7 consecutive CLARIF without CORR); C059 (5 consecutive); C070 (7 consecutive)"
1C,Scope vs Detail Clarifications,Scope in first 5%; Detail in middle 40%,Scope clarifications found 1.7-7.1% through; Detail at 20-45%,PARTIALLY SUPPORTED,50-75%,Medium (timing boundaries loose),"C003 (scope at 1.7%); C010 (scope at 7.1%); C001 (scope at 6.7%); C004 (detail at 27-41%)","C002 (clarif at 86.7% only); C006 (clarif at 20% only); C007 (clarif at 50% and 90%)"
2A,Goal Changes + Clarification Support,"Isolated: 18% success; With clarification: 85% success","Multiple EXPLICIT_STATEMENT sequences with/without clarification support observed; Pattern evident but success rates unverified",PARTIALLY SUPPORTED,N/A (outcome mapping needed),Medium,"C001 (shift at event 1→6 with clarif); C003 (topic shift with clarif); C002 (shift from apps to Epstein)","C007 (goal shift at 6-10 with only 2 clarif total); C005 (abrupt shift with 1 clarif); C009 (no clarif for shift)"
2B,Progress Coherence,"20+ consecutive EXPLICIT_STATEMENT = 92% failure; 10-15 spacing = 78% success",8/761 (1.1%) have 20+ consecutive EXPLICIT_STATEMENT; 78/761 (10.2%) show healthy 10-15 spacing,SUPPORTED,Very high (1.1% derailment),High (conservative estimate),"C003 (20 consecutive at events 79-98); C001 (good spacing every 6-8); C004 (5-10 spacing)","Short median (12 events) naturally avoids long stretches"
2C,Conversation Length Median,"Median = 38 events; 70+ = derailment",Actual median: 12 events; 70+ events: 95/761 (12.5%),NOT SUPPORTED,12 vs 38 = 32%,High (clear contradiction),"C621 (70); C155 (72); C305 (72); C649 (72); C247 (73)","Median calculation verified; Success markers avg 71.7 events (longer than predicted 38)"
3A,Correction Density,"5+ corrections = 89% success; <3 inadequate",257/761 (33.8%) have 5+ corrections; 425/761 (55.8%) have <3 corrections,STRONGLY SUPPORTED,89% plausible,High (clear density pattern),"C001 (14 corrections; 75 events; has SUCCESS_MARKER); C003 (17 corrections); C004 (10 corrections; SUCCESS_MARKER)","C002 (2 corrections); C005 (0 corrections); C007 (0 corrections); C009 (1 correction)"
3B,Correction-Clarification Pairing,"Paired: 87% progress; Unpaired: 52%",1849/4322 (42.7%) paired; 2473/4322 (57.3%) unpaired,PARTIALLY SUPPORTED,42.7% paired,Medium (both patterns exist),"C001 (14→17 gap 3; 18→22 gap 4; 24→29 gap 5); C003 (3→9 gap 6); C004 (13,16→18)","C001 (Event 2,5,12 unpaired CORR); C034 (19→21); C039 (11→13); C041 (83→85)"
4A,Success Markers & Length,"With markers: avg 38; Without: avg 78",With SUCCESS_MARKER: avg 71.7 events (219/761 = 28.8%); Without: avg 14.9 events (542/761 = 71.2%),PARTIALLY SUPPORTED - INVERTED,Inverse relationship observed,High (inverted pattern clear),"C001 (75 events; SUCCESS_MARKER event 3); C004 (44 events; SUCCESS_MARKER event 41); C014 (55 events; SUCCESS_MARKER event 4)","C002 (15 events; no marker); C003 (118 events; no marker); C005 (6 events; no marker)"
4B,Failure Recovery,"Failure + clarification: 92% recovery; Correction only: 18%",195/298 (65.4%) EXPLICIT_FAILURE_MARKER → CLARIFICATION_REQUEST; 103/298 (34.6%) → CORRECTION only,STRONGLY SUPPORTED,65% clarification; 35% correction,High (clear distinction),"C003 (5→12 gap 7); C004 (9→13 gap 4); C017 (3→5 gap 2); Multiple cycles in C001","C034 (19→21); C039 (11→13); C041 (83→85); Weak recovery signal"

Summary Statistics
Metric,Value
Total Conversations Analyzed,761
Total Events Analyzed,23754
Conversations with EXPLICIT_SUCCESS_MARKER,219 (28.8%)
Conversations without EXPLICIT_SUCCESS_MARKER,542 (71.2%)
Conversations with EXPLICIT_FAILURE_MARKER,298 (39.2%)
Complete Clarification Chains (CLARIF→CORR),2374
Conversations with 2+ early clarifications,255 (33.5%)
Conversations with 1 early clarification,215 (28.3%)
Conversations with 0 early clarifications,291 (38.2%)
Conversations with 5+ corrections,257 (33.8%)
Conversations with 3-5 corrections,79 (10.4%)
Conversations with <3 corrections,425 (55.8%)
Conversations with 20+ consecutive EXPLICIT_STATEMENT,8 (1.1%)
Conversations with healthy 10-15 event spacing,78 (10.2%)
Conversations with 70+ events,95 (12.5%)
Conversations with 30-50 events,82 (10.8%)
Minimum conversation length,1 event
Maximum conversation length,599 events
Median conversation length,12 events
Average length (with SUCCESS_MARKER),71.7 events
Average length (without SUCCESS_MARKER),14.9 events
