permanent_id,authority_citation,requirement_name,approved_behavior,profile,platform,final_proof_layer,L1_code,L1_status,L1_obligation,L1_evidence_types,L2_code,L2_status,L2_obligation,L2_evidence_types,L3_code,L3_status,L3_obligation,L3_evidence_types,L4_code,L4_status,L4_obligation,L4_evidence_types,L5_code,L5_status,L5_obligation,L5_evidence_types,L6_code,L6_status,L6_obligation,L6_evidence_types,L7_code,L7_status,L7_obligation,L7_evidence_types
ADV-01,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ADV-01,Talk to AI > Advanced Controls — Translator Engine,Translator Engine is independent from Destination AI and selects how raw thought is translated/prepared.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ADV-02,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ADV-02,Talk to AI > Advanced Controls — Manage Connections,"Open the AI Connections management surface, not generic Settings only.",visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ADV-03,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ADV-03,Talk to AI > Advanced Controls — Paid fallback,Default off; only allow paid translation fallback after free route cannot continue and within explicit consent/caps.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ADV-04,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ADV-04,Talk to AI > Advanced Controls — Maximum per request,Block any paid request whose maximum possible charge exceeds the configured per-request limit.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
ADV-05,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#ADV-05,Talk to AI > Advanced Controls — Set as defaults,Persist current approved AI-behavior settings as defaults for future sessions.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-01,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-01,Global keyboard — Ctrl+T — Ctrl+T,NO APPROVED SPEC,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-02,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-02,Global keyboard — Ctrl+H — Ctrl+H,User architecture excludes obsolete Home as a user destination.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-03,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-03,Global keyboard — Ctrl+D — Ctrl+D,Insights is the approved destination; no separate Dashboard destination.,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-04,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-04,Global keyboard — Ctrl+S — Ctrl+S,NO APPROVED SPEC,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
KB-05,docs/authority/DIVERGENCE-AI-CONTROL-BEHAVIOR-MAP-v2.md#KB-05,Global keyboard — Ctrl+L — Ctrl+L,NO APPROVED SPEC,visible_local,web,L3,SURFACE,APPLICABLE,"The approved surface, label, route, or destination exists and is honestly reachable.",route_or_shell_test;matching_deployment_identity,INTERACTION,APPLICABLE,"The approved control states, focus, keyboard, cancel, and recovery behavior react honestly.",control_state_test;interaction_accessibility_result;matching_deployment_identity,LOCAL_FUNCTION,APPLICABLE,The approved basic local or manual function completes without claiming an external effect.,local_end_to_end_result;no_fake_external_success_check;matching_deployment_identity,DURABILITY_REGRESSION,APPLICABLE,The proven local behavior remains correct across the durability changes that can affect it.,scoped_regression_result;matching_deployment_identity,MONEY_REGRESSION,APPLICABLE,The proven behavior remains correct and cannot bypass money-safety boundaries.,scoped_regression_result;money_boundary_result;matching_deployment_identity,CONNECTION_REGRESSION,APPLICABLE,The proven behavior remains correct when real adapters and external failures are present.,scoped_regression_result;matching_deployment_identity,PRODUCTION_REGRESSION,APPLICABLE,The approved behavior passes its scoped assertions on the immutable production-candidate deployment.,production_scoped_result;deployment_identity
